TrumpGen,TrumpAbort,SCGen,SCAbort,BidenGen,BidenAbort,religion,bornagain,CRS1,CRS2,CRS3,CRS4,CRS5,AbortionWrong,AbortionMurder,AbortionRape,AbortionHealth,AbortionDefect,AbortionWant,AbortionAll,AbortionWait,AbortionUltrasound,PolAffiliate,IdeologySocial,IdeologyEconomy,IdeologySecurity,vote2020,Acheck3,abortion_score_5pt,abortion_group
4,4,0,0,4,4,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,4,1,1,2.4234533702677745,pro-life
5,0,0,0,5,0,10,0,3,3,3,2,2,2,2,2,1,2,2,1,2,2,0,0,0,0,0,1,2.4443828870421664,pro-life
0,0,0,0,0,0,1,0,3,3,3,2,1,3,3,6,7,6,6,3,3,3,5,6,5,5,1,1,4.005355493998152,pro-choice
1,1,0,0,2,2,1,0,1,4,2,2,2,4,5,4,5,4,4,4,4,4,4,4,4,4,8,1,3.021175746383502,pro-life
3,2,0,0,1,2,4,0,3,2,4,5,2,5,3,3,4,5,3,1,2,2,3,5,1,3,5,1,2.88341028008618,pro-life
2,1,0,0,3,2,4,0,2,2,2,2,1,2,2,7,7,7,7,7,2,2,6,6,5,6,1,1,4.762757771622036,pro-choice
2,2,0,0,3,4,1,0,2,3,3,2,2,2,2,6,6,4,4,4,4,4,6,6,6,6,1,1,3.723176361957525,pro-choice
2,2,0,0,4,4,1,0,2,3,3,2,2,4,4,4,4,4,4,4,4,4,6,6,6,6,1,1,3.0,pro-life
4,5,0,0,3,4,1,0,2,2,1,1,3,4,7,4,7,2,7,6,7,6,4,4,4,4,8,1,3.067836257309941,pro-life
3,2,0,0,5,4,9,0,5,5,2,1,2,3,3,3,2,1,3,5,7,4,4,2,3,2,8,1,2.4594028931979066,pro-life
1,1,0,0,4,4,9,0,3,2,1,1,1,1,1,7,7,4,7,7,1,4,6,6,5,4,1,1,4.662049861495844,pro-choice
1,1,0,0,1,1,1,0,5,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,2.4234533702677745,pro-life
0,0,0,0,0,0,2,2,3,3,3,2,2,4,4,4,4,4,4,4,4,4,5,6,6,6,1,1,3.0,pro-life
1,1,0,0,4,4,8,0,2,2,1,1,1,2,2,7,7,6,6,6,2,1,6,6,5,4,1,1,4.584241305016927,pro-choice
5,0,4,1,2,3,4,0,4,2,3,5,2,4,4,4,4,4,4,4,4,4,4,3,2,1,6,1,3.0,pro-life
3,3,4,2,3,3,9,0,1,2,1,1,1,1,1,7,7,7,7,7,7,7,5,5,3,4,8,1,4.479224376731301,pro-choice
3,2,2,1,5,5,3,0,3,2,3,1,4,1,2,7,7,7,6,7,1,2,6,6,6,6,8,1,4.795752539242843,pro-choice
3,2,4,2,3,5,1,0,3,4,2,2,3,1,1,7,7,7,7,7,1,4,5,6,2,4,8,1,4.880701754385964,pro-choice
1,1,1,1,2,2,7,0,4,1,1,1,2,1,1,7,7,7,7,7,1,1,4,7,4,3,8,1,4.999999999999998,pro-choice
2,2,4,4,2,2,3,0,3,5,4,2,3,2,2,7,5,5,7,6,7,4,5,4,4,4,8,1,4.025300092336103,pro-choice
3,0,5,5,4,0,9,0,1,1,1,1,1,1,1,7,7,7,7,7,1,1,6,5,4,4,8,1,4.999999999999998,pro-choice
1,1,1,1,1,1,2,2,5,5,5,5,5,4,3,7,7,3,6,5,2,2,4,4,3,4,8,1,4.0440135426285,pro-choice
1,1,3,2,4,3,8,0,4,2,4,2,2,2,1,7,7,4,3,3,2,2,6,7,7,7,8,1,4.047091412742382,pro-choice
1,1,3,1,3,2,6,0,2,2,2,2,2,1,1,7,7,6,7,7,6,4,4,7,6,4,8,4,4.572668513388734,pro-choice
4,3,4,4,3,4,1,0,3,5,5,5,4,4,4,5,5,1,2,3,4,5,2,3,3,4,8,2,2.727423822714681,pro-life
3,3,3,3,3,3,9,0,2,3,2,2,2,3,6,7,7,7,3,6,6,7,4,4,4,4,8,1,3.5865189289012,neutral
4,4,4,3,2,2,3,0,2,3,3,1,2,3,1,7,6,4,3,6,6,7,2,2,2,2,8,1,3.685010772545398,pro-choice
2,2,3,2,4,3,10,0,3,5,5,3,3,3,2,6,7,5,5,4,5,5,6,6,6,6,8,1,3.8290550938750383,pro-choice
0,0,0,0,0,0,4,0,5,3,3,2,4,5,5,5,5,5,5,5,5,5,6,4,4,5,8,5,3.192182209910741,neutral
4,4,3,1,3,4,2,2,3,4,4,3,3,3,4,7,7,6,4,7,4,6,3,3,3,3,8,1,3.962019082794705,pro-choice
1,1,2,2,2,2,1,0,1,3,3,3,1,3,4,5,3,4,4,4,7,5,4,4,4,4,8,1,2.884641428131733,pro-life
1,2,3,1,3,2,9,0,2,2,1,1,1,2,1,7,7,4,4,7,2,2,6,6,3,6,8,1,4.388981224992304,pro-choice
3,2,4,4,2,2,1,0,3,4,3,3,4,4,4,7,7,4,1,2,7,1,2,2,2,1,8,1,3.2409356725146194,neutral
2,2,2,2,2,2,9,0,1,2,1,1,1,2,2,7,7,7,4,1,4,4,5,5,2,3,8,1,3.956478916589719,pro-choice
